TransactionID,age,age_group_order_rev,price,price_int
1764046,33,7,0.024525424,24
2127363,26,14,0.008457627,8
2058424,27,13,0.042355932,42
1769879,29,11,0.016932203,16
1482213,27,13,0.029915254,29
584332,31,9,0.050830508,50
761529,35,5,0.02540678,25
1691137,36,4,0.033881356,33
812915,28,12,0.02540678,25
33658,29,11,0.011847458,11
1473580,27,13,0.013542373,13
1573790,25,15,0.028355932,28
1980641,29,11,0.024457627,24
1522602,27,13,0.022864407,22
36476,26,14,0.02540678,25
1666358,29,11,0.016525424,16
2377505,28,12,0.02540678,25
843690,25,15,0.040661017,40
1051587,25,15,0.021779661,21
1524169,25,15,0.02959322,29
1864074,36,4,0.016932203,16
1700164,29,11,0.030491525,30
1256064,38,2,0.036,36
1728108,29,11,0.042355932,42
1113401,29,11,0.010152542,10
1339602,26,14,0.03659322,36
1291751,25,15,0.018288136,18
595948,31,9,0.016932203,16
1618308,31,9,0.012661017,12
206162,25,15,0.026135593,26
1302967,28,12,0.015,15
1637777,26,14,0.015237288,15
212420,27,13,0.008457627,8
1507675,36,4,0.023559322,23
115080,30,10,0.016932203,16
294962,30,10,0.016932203,16
1109058,32,8,0.023711864,23
1759807,33,7,0.02540678,25
973177,29,11,0.016932203,16
442982,28,12,0.022864407,22
172922,40,0,0.033881356,33
1210170,30,10,0.010152542,10
1225723,30,10,0.017271186,17
1423027,30,10,0.033881356,33
1245535,26,14,0.022016949,22
829458,25,15,0.02540678,25
1608955,31,9,0.001677966,1
1845381,29,11,0.013542373,13
1962701,32,8,0.02540678,25
795657,25,15,0.012881356,12
244535,34,6,0.020322034,20
332010,36,4,0.008457627,8
762930,38,2,0.032627119,32
1670810,33,7,0.033881356,33
613137,33,7,0.009474576,9
214624,25,15,0.016542373,16
1287875,25,15,0.033881356,33
288087,35,5,0.006762712,6
679101,26,14,0.02540678,25
273019,30,10,0.016932203,16
1860451,34,6,0.005067797,5
2161799,27,13,0.016932203,16
727564,25,15,0.016932203,16
1487458,27,13,0.02959322,29
766801,26,14,0.024728814,24
2322996,29,11,0.024881356,24
449433,27,13,0.02540678,25
1801015,33,7,0.011847458,11
1120015,27,13,0.027101695,27
1054825,25,15,0.02540678,25
304798,28,12,0.025152542,25
62190,30,10,0.02540678,25
1576964,32,8,0.001677966,1
217684,29,11,0.050830508,50
457619,25,15,0.033881356,33
360284,28,12,0.016762712,16
750123,28,12,0.02540678,25
1126995,38,2,0.007610169,7
1855326,27,13,0.02540678,25
1849005,40,0,0.016932203,16
988348,28,12,0.022016949,22
2335736,25,15,0.050830508,50
1740236,31,9,0.059305085,59
1686904,28,12,0.016932203,16
1732908,38,2,0.027101695,27
1466798,34,6,0.05040678,50
529731,38,2,0.050830508,50
333448,31,9,0.029610169,29
815191,27,13,0.022016949,22
1617654,34,6,0.016932203,16
485794,30,10,0.022016949,22
1845208,29,11,0.008457627,8
225998,26,14,0.024830508,24
661512,29,11,0.02540678,25
1960067,36,4,0.030491525,30
469597,37,3,0.02540678,25
965959,32,8,0.016932203,16
572219,30,10,0.050830508,50
207443,33,7,0.016762712,16
922247,26,14,0.015237288,15
618972,30,10,0.033881356,33
2105205,34,6,0.033881356,33
1560121,31,9,0.028627119,28
2006288,30,10,0.016389831,16
2223462,25,15,0.014983051,14
